,Unnamed: 0,Title,Price,Location,Rooms,Area,Floor
2709,2709,3-комнатная квартира · 62.5 м² · 1/5 этаж,36000000,"Бостандыкский р-н, мкр Орбита-4 29",3,62.5,1
2710,2710,1-комнатная квартира · 41 м² · 8/9 этаж,34500000,"Ауэзовский р-н, мкр Таугуль-1 — Навои",1,41.0,8
2711,2711,5-комнатная квартира · 202 м² · 1/3 этаж,260000000,"Бостандыкский р-н, 13-я 40",5,202.0,1
2712,2712,3-комнатная квартира · 165 м² · 1/3 этаж,465000000,"Бостандыкский р-н, Микрорайон Мирас 116",3,165.0,1
2713,2713,3-комнатная квартира · 96 м² · 4/4 этаж,95040000,"Наурызбайский р-н, мкр Рахат, Мкр.Рахат, ул.Культобе уч.№1, уч№24",3,96.0,4
2714,2714,2-комнатная квартира · 52 м² · 10/10 этаж,36500000,"Наурызбайский р-н, Кенесары хана",2,52.0,10
2715,2715,2-комнатная квартира · 53 м² · 2/12 этаж,37000000,"Ауэзовский р-н, Садвакасова 35",2,53.0,2
2716,2716,2-комнатная квартира · 79.95 м²,110500000,"Медеуский р-н, мкр Коктобе, Сагадат Нурмагамбетова 138/2",2,79.95,0
2717,2717,2-комнатная квартира · 58 м² · 8/12 этаж,36500000,"Алатауский р-н, мкр Акбулак, 1-я улица 43 — Момышулы",2,58.0,8
2718,2718,3-комнатная квартира · 60 м² · 3/5 этаж,43500000,"Бостандыкский р-н, мкр Орбита-3 — Саина",3,60.0,3
2719,2719,3-комнатная квартира · 72.2 м² · 5/5 этаж,46000000,"Жетысуский р-н, мкр Кулагер 39а",3,72.2,5
2720,2720,2-комнатная квартира · 67 м² · 3/12 этаж,50000000,"Алатауский р-н, Бауыржана Момышулы 5/2 — Монке би",2,67.0,3
2721,2721,2-комнатная квартира · 64 м² · 6/12 этаж,65000000,"Алмалинский р-н, Жамбыла 155 — Байзакова",2,64.0,6
2722,2722,1-комнатная квартира · 23.5 м² · 2/5 этаж,20000000,"Алмалинский р-н, Наурызбай батыр 16 — Угол улицы  Маметова",1,23.5,2
2723,2723,4-комнатная квартира · 140 м² · 2/14 этаж,97000000,"Ауэзовский р-н, Навои 58",4,140.0,2
2724,2724,2-комнатная квартира · 45.8 м² · 5/5 этаж,29000000,"Бостандыкский р-н, мкр Орбита-3 — Саина",2,45.8,5
2725,2725,5-комнатная квартира · 269 м²,254000000,"Бостандыкский р-н, мкр Баганашыл — Аль-Фараби",5,269.0,0
2726,2726,2-комнатная квартира · 34.5 м² · 2/12 этаж,32000000,"Алмалинский р-н, Райымбека 210/3",2,34.5,2
2727,2727,3-комнатная квартира · 60 м² · 2/4 этаж,39000000,"Бостандыкский р-н, Санаторий Алматы 3 — Аскарова / Ул. Санаторий Алматы",3,60.0,2
