,Unnamed: 0,Title,Price,Location,Rooms,Area,Floor
92,92,"Пищевой цех, пекарня, кондитерская · 600 м²",230 000 000〒,"р-н Байконур, Шет 6",1,600.0,1
93,93,Готовый бизнес · 950 м²,300 000 000〒,Кульджинский тракт 165/4,1,950.0,1
94,94,"Праздничное агество ""Счастье"" · 100 м²",3 500 000〒,Жусупа 30А,1,100.0,1
95,95,«Кофе на вынос» в центре-действующий бизнес · 11 м²,3 000 000〒,"Медеуский р-н, мкр Самал, Достык 55",1,11.0,1
96,96,Действующяя фазенда · 40000 м²,65 000 000〒,Береккк 11,1,40000.0,1
97,97,Действующий продуктовый магазин · 200 м²,60 000 000〒,"Бостандыкский р-н, мкр Алмагуль, Абая 130",1,200.0,1
98,98,База отдыха · 6000 м²,33 000 000〒,улица 3 2,1,6000.0,1
99,99,Магазин одежды · 60 м²,2 200 000〒,"Керей, Жанибек хандар 22",1,60.0,1
100,100,Готовый бизнес тренажерный зал · 400 м²,22 000 000〒,Женис 13,1,400.0,1
101,101,"Баня, сауна, бассейн, производстстенный помещение под бизнес · 400 м²",185 000 000〒,"п. Арман, Гоголя строение 100",1,400.0,1
102,102,Садик.Готовый бизнес. · 1500 м²,495 000 000〒,Абая 3,1,1500.0,1
103,103,Действующий лаундж бар · 250 м²,10 500 000〒,"Медеуский р-н, Кажымукана 12/2",1,250.0,1
104,104,Раскрученное караоке · 750 м²,50 000 000〒,"р-н Байконур, Абая 63",1,750.0,1
105,105,Учебно-образовательный центр · 81 м²,45 000 000〒,"Алматы р-н, Кенен Азербаева 8",1,81.0,1
106,106,Готовый бар · 500 м²,60 000 000〒,"Медеуский р-н, Достык 132",1,500.0,1
107,107,Общежитие действующее · 416 м²,83 000 000〒,"Ауэзовский р-н, мкр Алтын Бесик 51",1,416.0,1
108,108,Магазин мелкой электроники · 30 м²,5 000 000〒,"Нура р-н, Кайым Мухамедханов 17",1,30.0,1
109,109,TEEZ ПВЗ продется · 32 м²,14 650 000〒,"Казыбек би р-н, мкр Юго-Восток, Мкр Юго-Восток, мкр Степной 3 7/2",1,32.0,1
110,110,Готовый бизнес мужской одежды и обуви · 137 м²,15 000 000〒,"Казыбек би р-н, мкр Новый Город, Бухар-Жырау 55/7",1,137.0,1
111,111,Ресторанный комплекс · 4725 м²,600 000 000〒,ул коктем 70/6,1,4725.0,1
112,112,Общепит и Магазин у ДОМА. · 160 м²,88 000 000〒,"Нура р-н, Култегин 14",1,160.0,1
113,113,Аптеку · 58 м²,33 000 000〒,Казахстан 98/1,1,58.0,1
114,114,Бар -готовый бизнес · 170 м²,6 000 000〒,"Алмалинский р-н, Наурызбай батыра 85",1,170.0,1
115,115,Готовый бизнес · 65 м²,50 000 000〒,Несмиянова 10/12,1,65.0,1
116,116,Готовый бизнес туристический · 1250 м²,28 000 000〒,Ултаракова 1А,1,1250.0,1
117,117,Действующий бизнес · 39 м²,5 000 000〒,"Каратауский р-н, мкр Нурсат 7/1",1,39.0,1
118,118,Готовые бизнесы · 4000 м²,550 000 000〒,Блетова 39 39А,1,4000.0,1
119,119,Детский сад с госзаказом · 420 м²,120 000 000〒,Абыза 45,1,420.0,1
120,120,Мебельный цех под ключ. · 1000 м²,150 000 000〒,Алтынсарина 214/6,1,1000.0,1
121,121,Продуктовый магазин · 213 м²,110 000 000〒,Шокана уалиханова 66,1,213.0,1
122,122,Лаундж бар в центре города с лояльной клиентской базой! · 120 м²,22 000 000〒,"Бостандыкский р-н, Сатпаева 133/9 9",1,120.0,1
123,123,Отдых · 17500 м²,330 000 000〒,Трасса Алматы - Колжат 53 км 1,1,17500.0,1
124,124,Бутик с товаром ЦУМ · 35 м²,11 200 000〒,Таукехана Кунаева 16,1,35.0,1
125,125,"Дом для бизнеса рядом с СДУ!! 2 этажа, 9 комнат · 600 м²",58 000 000〒,9-ый квартал жоқ,1,600.0,1
126,126,Бизнес квартиры под аренду · 225 м²,66 000 000〒,Южная 77,1,225.0,1
127,127,Прдается зона отдыха с 1.2 га земли · 100 м²,220 000 000〒,"Талгарский р-н, Абая Кунанбаева 77",1,100.0,1
128,128,Оборудование по производству пенопласта · 500 м²,35 000 000〒,Пр. Индустриальный 27,1,500.0,1
129,129,Бизнес · 81 м²,55 000 000〒,"Нура р-н, Е 509 7",1,81.0,1
130,130,Кафе · 160 м²,18 000 000〒,"Жетысуский р-н, мкр Кокжиек, Талант 35/2",1,160.0,1
131,131,Офлайн магазин косметики · 34 м²,39 000 000〒,"Нура р-н, Сыганак 32",1,34.0,1
132,132,Свинокомплекс · 50000 м²,4 950 000 000〒,П. Даулет 1,1,50000.0,1
133,133,Минимаркет · 139 м²,35 000 000〒,"Алматы р-н, Кенесары 70 70",1,139.0,1
134,134,Действующий бизнес в г. Астана · 250 м²,25 000 000〒,Ауэзова 8,1,250.0,1
135,135,Крупный фулфилмент центр · 650 м²,80 000 000〒,"Ауэзовский р-н, Баянауыл 1А",1,650.0,1
136,136,Действующий бизнес · 54 м²,12 600 000〒,"р-н Байконур, Гоголя 15а",1,54.0,1
137,137,Бутик мужской одежды · 55 м²,30 000 000〒,Биржан сала 46,1,55.0,1
138,138,Клиники косметологии · 170 м²,12 000 000〒,"Бостандыкский р-н, Кожабекова 19",1,170.0,1
139,139,Текеде кірген жерде жолдың боиында Ағаш базары сатылады · 10000 м²,50 000 000〒,Теке Абдулла Үсенов 10,1,10000.0,1
140,140,Бизнес · 68 м²,3 000 000〒,Кутузова 30,1,68.0,1
141,141,Готовый бизнес · 342 м²,39 000 000〒,Кулагер 6,1,342.0,1
142,142,Бизнес · 1008 м²,240 000 000〒,3-й Северный квартал 7,1,1008.0,1
143,143,Для суточной аренды жилой 40тонник · 30 м²,8 500 000〒,"Алатауский р-н, мкр 6-й градокомплекс, Мкр 6-й градокомплекс 56",1,30.0,1
144,144,Коммерческое помещение · 44 м²,42 000 000〒,"Аль-Фарабийский р-н, Туркестанская 2/1",1,44.0,1
145,145,Прибыльный компьютерный клуб! Готовый бизнес под ключ! · 300 м²,120 000 000〒,"Алмалинский р-н, Айтеке би 63 92",1,300.0,1
146,146,"Продаётся ресторан ""Жанар"", торг приветствуется ! · 2000 м²",400 000 000〒,Сейфуллина 54,1,2000.0,1
147,147,Копи-центр · 4 м²,900 000〒,Абая 159,1,4.0,1
148,148,Общежитие гостиничного бизнеса · 755 м²,180 000 000〒,Промзона 155Н,1,755.0,1
149,149,Бизнес · 54 м²,20 000 000〒,Абулхаир хана 42,1,54.0,1
150,150,Цех · 130 м²,28 000 000〒,Сатпаева 5Г,1,130.0,1
151,151,Компьютерный Клуб · 200 м²,60 000 000〒,"Аль-Фарабийский р-н, Пазылбекова 4",1,200.0,1
152,152,Магазин · 100 м²,80 000 000〒,Айтеке би 26а,1,100.0,1
153,153,Радиостанция · 50 м²,200 000 000〒,Абая 6А,1,50.0,1
154,154,Бизнес · 1050 м²,350 000 000〒,"Жетысуский р-н, Грибоедова 81",1,1050.0,1
155,155,Действующий БИЗНЕС · 380 м²,80 000 000〒,"Алмалинский р-н, Толе Би 63",1,380.0,1
156,156,Крестьянское Хозяйство · 100000 м²,55 000 000〒,Хобда 24,1,100000.0,1
157,157,Готовый бизнес · 200 м²,40 200 000〒,Сатпаева 17,1,200.0,1
158,158,Раскрученное караоке/бар/ресторан в центре Левого берега ! · 345 м²,30 000 000〒,"Есильский р-н, Достык 18",1,345.0,1
159,159,Торговая фирма по продаже продуктов питания на две области СКО и Акмол · 500 м²,300 000 000〒,"Алматы р-н, С301 10",1,500.0,1
160,160,Готовый бизнес · 63 м²,5 000 000〒,"Наурызбайский р-н, мкр Шугыла 340/35 к15",1,63.0,1
161,161,Зона отдыха · 1000 м²,230 000 000〒,Мустафина 10,1,1000.0,1
162,162,Кафе в Парке 28 Панфиловцев · 150 м²,30 000 000〒,"Медеуский р-н, Казбек би 43",1,150.0,1
163,163,Магазин · 50 м²,4 990 000〒,Академика Сатпаева 306,1,50.0,1
164,164,Образовательный центр DOMKURSOV · 108 м²,10 000 000〒,"Ауэзовский р-н, Рыскулбекова 39а",1,108.0,1
165,165,Действующий бизнес - Концептуальный Бар / Караоке / Мафия · 250 м²,30 000 000〒,"Есильский р-н, мкр Шубар, Кабанбай батыра 10",1,250.0,1
166,166,"Пластиковый цех, с офисом, комната отдыха для персонал · 300 м²",83 000 000〒,"мкр Томарлы, Кенже бектемиров 2",1,300.0,1
167,167,Действующий бизнес: Химчистка · 152.6 м²,172 558 367〒,"Бостандыкский р-н, Пр. Аль-Фараби 99",1,152.6,1
168,168,Большой PS club со своей кухней · 220 м²,20 000 000〒,"Турксибский р-н, Акансеры 20/5",1,220.0,1
169,169,Действующий автокемпинг с хорошей клиентской базой · 640 м²,160 000 000〒,Трасса Караганда-Балхаш Акчатау,1,640.0,1
170,170,Готовый бизнес · 55 м²,10 500 000〒,Туран 44/2,1,55.0,1
171,171,Эко ферма · 500 м²,62 000 000〒,Трасса трасса,1,500.0,1
172,172,Готовый бизнес косметология · 38 м²,12 000 000〒,"Ауэзовский р-н, Сатпаева 32",1,38.0,1
173,173,Павильон под общепит с полным оборудованием · 20 м²,7 000 000〒,Астана 253,1,20.0,1
174,174,Готовый бизнес Хостел · 700 м²,260 000 000〒,Шугыла 43,1,700.0,1
175,175,Готовый бизнес Продуктовый бутик на Верхнем рынке · 115 м²,24 000 000〒,"Аль-Фарабийский р-н, Толе би 9",1,115.0,1
176,176,Бизнес по производству мебели · 300 м²,9 800 000〒,Достык 55,1,300.0,1
177,177,Форелевое хозяйство. · 4280 м²,45 000 000〒,Абая 2,1,4280.0,1
178,178,Действующий ресторан · 300 м²,65 000 000〒,"Бостандыкский р-н, мкр Алмагуль, Розыбакиева 320",1,300.0,1
179,179,Самый люксовый спа в Астане · 485 м²,890 000 000〒,"Есильский р-н, Достык 1/2",1,485.0,1
180,180,Действующий продуктовый магазин · 99 м²,8 500 000〒,"Алматы р-н, Байтурсынова 4/1",1,99.0,1
181,181,Прибыльный магазин женской одежды · 50 м²,10 000 000〒,"Есильский р-н, Мангилик ел 17",1,50.0,1
182,182,Продуктовый магазин · 70 м²,13 500 000〒,"Сарайшык р-н, Нажмединова 15",1,70.0,1
183,183,Действующий бизнес · 50 м²,20 000 000〒,"Медеуский р-н, Абая 23",1,50.0,1
184,184,Компьютерный клуб · 160 м²,60 000 000〒,"Ауэзовский р-н, Мамыр 1, 26/1 блок 4 26/1",1,160.0,1
185,185,АГЗС+Автомойка (Мой сам) · 3060 м²,150 000 000〒,"Қызылтөбе-2, Батыр 17",1,3060.0,1
186,186,Мебельный бизнес цех с нужными оборудованиями для бизнеса · 400 м²,15 000 000〒,"р-н Байконур, Жанажол 14",1,400.0,1
187,187,Пивной магазин · 73.1 м²,4 000 000〒,Торайгырова 91,1,73.1,1
188,188,"ТОО ""АПТЕКА на Роще"" · 35 м²",4 000 000〒,Джангильдина 117,1,35.0,1
189,189,"ДОЛЯ в медицинском центре ""Дом Здоровья"" · 1234 м²",210 000 000〒,"Сарыарка р-н, проспект Республики 55",1,1234.0,1
190,190,Зона отдыха · 20000 м²,51 000 000〒,"Каратауский р-н, мкр Бозарык  407",1,20000.0,1
191,191,Кофеня с кухней · 66 м²,15 500 000〒,"Бостандыкский р-н, проспект Сейфулина 609",1,66.0,1
192,192,Готовый бизнес салон красоты · 72 м²,7 000 000〒,"Нура р-н, Проспект Аль Фараби 21/1",1,72.0,1
193,193,"Бизнес гостиницу, спа, сауну, массажный салон · 1000 м²",80 000 000〒,"Бостандыкский р-н, Касымова 32",1,1000.0,1
194,194,Готовый бизнес в центре города wildberries · 120 м²,3 000 000〒,М.Жусупа 46,1,120.0,1
195,195,Магазин · 116 м²,15 500 000〒,"Сарайшык р-н, Нурмаганбетова 31а",1,116.0,1
196,196,Действующий бизнес · 313 м²,48 000 000〒,Естая 81,1,313.0,1
197,197,Сауна · 120 м²,63 000 000〒,Құттығай батыр 7г,1,120.0,1
198,198,Цех по производству рулонных штор и жалюзи · 300 м²,270 000 000〒,"Юбилейный, Адрес не соответствует 1",1,300.0,1
199,199,Баня с земельным участком вдоль берега. · 4000 м²,33 500 000〒,Набережная 1,1,4000.0,1
200,200,Автосервис · 570 м²,120 000 000〒,"Алатауский р-н, мкр 71-й разъезд, Жаужурек 65а",1,570.0,1
201,201,Продуктовый магазины · 175 м²,53 000 000〒,Медиков бн,1,175.0,1
202,202,Готовый бизнес магазин сантехники вместе с товаром · 175 м²,20 000 000〒,Шевченко 56,1,175.0,1
203,203,Грибной бизнес · 700 м²,25 000 000〒,Славкина 19,1,700.0,1
204,204,Готовый бизнес клубника в шоколаде · 80 м²,4 000 000〒,"Аль-Фарабийский р-н, Тауке хана 110",1,80.0,1
205,205,Премиальный цветочный магазин · 45 м²,20 000 000〒,"Медеуский р-н, Достык 46",1,45.0,1
206,206,Пекарня- кофейня · 110 м²,17 500 000〒,"Ауэзовский р-н, мкр №11 3Д",1,110.0,1
207,207,Магазин · 400 м²,500 000 000〒,"р-н Байконур, Сабыр Рахимова 111",1,400.0,1
208,208,Доля в парфюмерном магазине · 25 м²,7 500 000〒,Петрова 24,1,25.0,1
209,209,Действующий ресторан(кафе) · 400 м²,110 000 000〒,Мухтар Ауезова 12а,1,400.0,1
210,210,Салон красоты · 128 м²,7 000 000〒,"Есильский р-н, Алихана Бокейханова 15",1,128.0,1
211,211,Готовый бизнес ! · 150 м²,20 000 000〒,Сыпатай батыра 8б,1,150.0,1
212,212,Детская игровая площадка с большой песочницей · 52 м²,2 300 000〒,Независимости 25а,1,52.0,1
213,213,Кафе сдомом · 300 м²,140 000 000〒,"Сазда-2 , Оспанов 121",1,300.0,1
214,214,Готовый бизнес · 88 м²,10 000 000〒,"Нура р-н, мкр Уркер, Айтеке би 15",1,88.0,1
215,215,Бизнес продуктовый магазин · 92 м²,16 000 000〒,"Алматы р-н, Байтурсынова 47",1,92.0,1
216,216,Бизнес · 40 м²,1 200 000〒,Оренбургская 2,1,40.0,1
217,217,Teahub готовый бизнес · 101.6 м²,22 000 000〒,14-й мкр 73,1,101.6,1
218,218,Кофехана · 220 м²,30 000 000〒,Аблайхана 139,1,220.0,1
219,219,Стоматология · 180 м²,45 000 000〒,19-й мкр 25,1,180.0,1
220,220,Цех по производству натяжных потолков · 340 м²,8 200 000〒,Атлантическая 38,1,340.0,1
221,221,СТО коммерческая недвижимость · 420 м²,89 500 000〒,"Казыбек би р-н, мкр Городской Аэропорт 151",1,420.0,1
222,222,Прибыльный СПА-салон с оборудованием и помещением | Алматы» · 47 м²,47 000 000〒,"Наурызбайский р-н, мкр Шугыла 340/3",1,47.0,1
223,223,Клининговая компания · 12 м²,4 800 000〒,"Казыбек би р-н, Ерубаева 10",1,12.0,1
224,224,Доходный коттедж · 300 м²,110 000 000〒,"Ульбинский, Алматинская 31",1,300.0,1
225,225,Элеватор · 3209 м²,1 200 000 000〒,Путевая 1,1,3209.0,1
226,226,Готовый бизнес · 210 м²,75 000 000〒,"Бостандыкский р-н, Радостовца 323 б",1,210.0,1
227,227,"Сауна, баня, СТО, кузовной цех, столярный цех, кафе, развал схождения. · 950 м²",400 000 000〒,Мясокомбинат 93А,1,950.0,1
228,228,Бизнес · 80 м²,25 000 000〒,Сейфулина 617,1,80.0,1
229,229,Здание или в аренду · 1190 м²,4 000 000〒,"Туран р-н, Байтулы баба 6/2",1,1190.0,1
230,230,Готовый бизнес · 48 м²,9 500 000〒,Титова 8/Б,1,48.0,1
231,231,Действующий бизнес с доходом 2-4млн · 75 м²,16 600 000〒,Муратбаева 23,1,75.0,1
232,232,Бизнес мини маркет · 250 м²,25 000 000〒,"Жетысуский р-н, Райымбек 92а",1,250.0,1
233,233,Действующий бизнес · 55 м²,10 000 000〒,Астана 160А,1,55.0,1
234,234,Прибыльный и готовый ресторан · 550 м²,65 000 000〒,"Алмалинский р-н, Жибек жолы 131",1,550.0,1
235,235,Готовый бизнес · 7 м²,2 500 000〒,мкр 4 18/1,1,7.0,1
236,236,Готовый бизнес Аптека и процедурный кабинет · 80 м²,15 000 000〒,"Ауэзовский р-н, мкр №10 А 22",1,80.0,1
237,237,Производство полиэлиленовых пакетов · 300 м²,50 000 000〒,Арай 119,1,300.0,1
238,238,Готовый бизнес – продуктовый магазин 24/7 в ЖК 4You · 150 м²,28 990 000〒,"Бостандыкский р-н, Радостовца 333А",1,150.0,1
239,239,Готовый и прибыльный ресторан · 210 м²,110 000 000〒,"Бостандыкский р-н, Радостовца 323а",1,210.0,1
240,240,Мебельный бизнес · 1000 м²,11 000 000〒,"р-н Байконур, Алаш 35",1,1000.0,1
241,241,Действующий бизнес · 42.3 м²,22 000 000〒,"Казыбек би р-н, мкр Городской Аэропорт, Мкр Алтын Арка 20",1,42.3,1
242,242,ТОО с производственной базой · 23000 м²,2 800 000 000〒,"Енбекшинский р-н, мкр Специальная экономическая зона ""Оңтүстік"", Капал Батыра 43а",1,23000.0,1
