Unnamed: 0.1,Unnamed: 0,Title,Price,Location,Rooms,Area,Floor,Price_per_m2,Segment,FloorCategory,AreaCategory
18,18,КХ/ШК · 100000 м²,90000000.0,Липового 7,1,100000.0,1,900.0,комфорт,низкий,большая
19,19,Магазин женской одежды · 100 м²,10900000.0,"Есильский р-н, Улы Дала 41/2",1,100.0,1,109000.0,комфорт,низкий,средняя
20,20,Алаколь · 1 м²,75000000.0,База 1,1,1.0,1,75000000.0,элит,низкий,малая
21,21,Кофейня · 100 м²,12000000.0,"Алматы р-н, Момышулы 14",1,100.0,1,120000.0,комфорт,низкий,средняя
22,22,Торговый павильон · 55 м²,3700000.0,"р-н Байконур, Шоссе Алаш 52",1,55.0,1,67272.72727272728,комфорт,низкий,средняя
23,23,Успешная стоматологическая клиника «A-Raiyan» ! · 108.4 м²,65000000.0,12-й мкр 21А,1,108.4,1,599630.996309963,элит,низкий,большая
24,24,БСУ бетоносмесительная узел ! · 1 м²,80000000.0,"Каратауский р-н, 226 квартал здание 367",1,1.0,1,80000000.0,элит,низкий,малая
25,25,Бар в ночном клубе White · 10 м²,5700000.0,"Есильский р-н, Кабанбай батыра 6/4",1,10.0,1,570000.0,элит,низкий,малая
26,26,Продаём готовый бизнес груминг салон и магазин зоотоваров · 143 м²,13300000.0,"Есильский р-н, Алихан Бокейхан 16/3",1,143.0,1,93006.99300699301,комфорт,низкий,большая
27,27,Готовый бизнес · 47 м²,10000000.0,"Бостандыкский р-н, мкр Нур Алатау, Жандосова 7",1,47.0,1,212765.95744680852,комфорт,низкий,малая
28,28,Ферма по выращиванию клубники (теплица) · 4500 м²,175000000.0,Пос. Касымбек б/н,1,4500.0,1,38888.88888888889,комфорт,низкий,большая
29,29,Бутик · 12 м²,1500000.0,"Ульбинский, Абая 1/4",1,12.0,1,125000.0,комфорт,низкий,малая
30,30,Готового бизнеса Шымкент · 23 м²,2000000.0,"Енбекшинский р-н, 11-й микрорайон, Туркестанская 2/2",1,23.0,1,86956.52173913043,комфорт,низкий,малая
31,31,Нұр дүкені · 324 м²,12000000.0,Тумышева,1,324.0,1,37037.03703703704,комфорт,низкий,большая
32,32,Действующий бизнес · 20 м²,1500000.0,"Турксибский р-н, Айша Биби 379",1,20.0,1,75000.0,комфорт,низкий,малая
33,33,Павильон фаст-фуд 20м2 · 20 м²,12000000.0,15-й мкр 35,1,20.0,1,600000.0,элит,низкий,малая
34,34,Кафе в ТРЦ Аккала Молл · 70 м²,10000000.0,29а мкр 51,1,70.0,1,142857.14285714287,комфорт,низкий,средняя
35,35,Павильон с ремонтом для уличной торговли · 12 м²,1500000.0,Шыгыс 137 1,1,12.0,1,125000.0,комфорт,низкий,малая
36,36,Действующи бизнес · 500 м²,35000000.0,Назарбаева 36,1,500.0,1,70000.0,комфорт,низкий,большая
37,37,Студию депиляции · 23 м²,1950000.0,"Казыбек би р-н, мкр Новый Город, Пассажирская 15А",1,23.0,1,84782.60869565218,комфорт,низкий,малая
38,38,Готовый магазин одежды на первой линии · 33 м²,1300000.0,"Наурызбайский р-н, Алтын орда 6/60 1",1,33.0,1,39393.93939393939,комфорт,низкий,малая
39,39,"База отдыха, пансионат · 1000 м²",70000000.0,Вторая береговая линия 2,1,1000.0,1,70000.0,комфорт,низкий,большая
40,40,Действующий бизнес · 48.9 м²,17800000.0,Гагарина 24,1,48.9,1,364008.1799591002,комфорт,низкий,малая
41,41,ДЕЙСТВУЮЩИЙ ГОТОВЫЙ БИЗНЕС МАГАЗИН + КАФЕ · 200 м²,22000000.0,Гагарина 127,1,200.0,1,110000.0,комфорт,низкий,большая
42,42,Готовый бизнес · 70 м²,15000000.0,Проспект Жамбыла 200,1,70.0,1,214285.7142857143,комфорт,низкий,средняя
43,43,Действующий остановочный магазин · 80 м²,75000000.0,32Б мкр 15/2,1,80.0,1,937500.0,элит,низкий,средняя
44,44,Готовый бизнес с приболью · 350 м²,24000000.0,"Аль-Фарабийский р-н, Кунаева 5",1,350.0,1,68571.42857142857,комфорт,низкий,большая
45,45,Продуктовый магазин · 65 м²,17000000.0,"Нура р-н, Кайым Мухамедханова 49/1",1,65.0,1,261538.46153846153,комфорт,низкий,средняя
46,46,"Станция технического обслуживания, магазин хоз товаров, навес. · 200.4 м²",30000000.0,Железнодорожная 32,1,200.4,1,149700.5988023952,комфорт,низкий,большая
47,47,Готовый бизнес кофейня кондитерская · 70 м²,15500000.0,"Алмалинский р-н, мкр Тастак-2, Брусиловского 191",1,70.0,1,221428.57142857142,комфорт,низкий,средняя
48,48,Детский сад -школа · 1200 м²,455000000.0,Вип городок переулок 37 8,1,1200.0,1,379166.6666666667,комфорт,низкий,большая
49,49,Действующий санатория · 2102 м²,1000000000.0,Шаймерденова 75 А,1,2102.0,1,475737.3929590866,комфорт,низкий,большая
50,50,!!! Готовый бизнес · 1000 м²,65000000.0,"Алмалинский р-н, Наурызбай батыра 85",1,1000.0,1,65000.0,комфорт,низкий,большая
51,51,Мини маркет · 160.91 м²,55000000.0,"Бостандыкский р-н, Сатпаева 82/2",1,160.91,1,341805.97849729663,комфорт,низкий,большая
52,52,Готовый бизнес с доходом 1.000.000 · 100000 м²,12000000.0,"Алатауский р-н, мкр Аккент 34",1,100000.0,1,120.0,комфорт,низкий,большая
53,53,Действующий бизнес · 150 м²,20000000.0,"Алмалинский р-н, Желтоксан 78/86",1,150.0,1,133333.33333333334,комфорт,низкий,большая
54,54,Готовый бизнес ps club здания в аренде · 150 м²,10000000.0,"Туран р-н, Рыскулова б/н",1,150.0,1,66666.66666666667,комфорт,низкий,большая
55,55,Готовый бизнес: ателье класса люкс · 65 м²,9900000.0,"Есильский р-н, Гейдара Алиева 14",1,65.0,1,152307.6923076923,комфорт,низкий,средняя
56,56,Кондитерская/Кондитерский дом/Пекарня/Цех · 100 м²,20000000.0,Аккозиева 53,1,100.0,1,200000.0,комфорт,низкий,средняя
57,57,Действующий апарт отель · 526 м²,358600000.0,Озтюрка 4,1,526.0,1,681749.0494296578,элит,низкий,большая
58,58,ДОМ+СТО · 4.2 м²,120000000.0,. .,1,4.2,1,28571428.57142857,элит,низкий,малая
59,59,Капсульный хостел · 250 м²,22000000.0,"Медеуский р-н, Чайкиной 3б",1,250.0,1,88000.0,комфорт,низкий,большая
60,60,Готовый бизнес. · 1000 м²,50000000.0,"Каратауский р-н, мкр Нуртас, улица Кулагер 203",1,1000.0,1,50000.0,комфорт,низкий,большая
61,61,Действующий бизнес в селе Зеренда · 500 м²,58000000.0,Габдуллина 47,1,500.0,1,116000.0,комфорт,низкий,большая
62,62,Продуктовый магазин · 174 м²,40000000.0,"Нура р-н, мкр Уркер, Сыганак 32",1,174.0,1,229885.05747126436,комфорт,низкий,большая
63,63,Спортивный Магазин с товаром · 72 м²,29000000.0,"Турксибский р-н, Староэлеваторская 2а 2а",1,72.0,1,402777.77777777775,комфорт,низкий,средняя
64,64,Готовый бизнес · 147 м²,20000000.0,"Алматы р-н, Ильяс Жансугуров 8/1",1,147.0,1,136054.42176870749,комфорт,низкий,большая
65,65,Производство итальянского мороженого (джелато и сорбетов) · 45 м²,32500000.0,"Бостандыкский р-н, Айманова 140",1,45.0,1,722222.2222222222,элит,низкий,малая
66,66,Плов центр/Тандыр · 60 м²,12500000.0,"Нура р-н, Е-36 2",1,60.0,1,208333.33333333334,комфорт,низкий,средняя
67,67,Готовый бизнес · 60 м²,3000000.0,"Наурызбайский р-н, мкр Таусамалы, Буланды 66",1,60.0,1,50000.0,комфорт,низкий,средняя
68,68,"Готовый бизнес, магазин одежды. · 60 м²",5000000.0,"Каратауский р-н, Толеметова 60",1,60.0,1,83333.33333333333,комфорт,низкий,средняя
69,69,Кофейня как Бизнес · 90 м²,37000000.0,Баймагамбетова 158,1,90.0,1,411111.1111111111,комфорт,низкий,средняя
70,70,Готовый бизнес · 1 м²,60000000.0,"Алматы р-н, Созак 6",1,1.0,1,60000000.0,элит,низкий,малая
71,71,Компьютерный клуб · 273 м²,26500000.0,мкр. Алтын орда 20 Д,1,273.0,1,97069.59706959708,комфорт,низкий,большая
72,72,Готовый бизнес · 210 м²,35000000.0,Достык 13,1,210.0,1,166666.66666666666,комфорт,низкий,большая
73,73,Лаунч-Хаб · 110 м²,36600000.0,"мкр Школьник, Скоробогатова 67/2",1,110.0,1,332727.2727272727,комфорт,низкий,большая
74,74,Прибыльный бизнес · 160 м²,20000000.0,"Есильский р-н, мкр Комсомольский, Мангилик ел 27",1,160.0,1,125000.0,комфорт,низкий,большая
75,75,Прибыльный бизнес · 44 м²,25000000.0,"Казыбек би р-н, мкр Юго-Восток, Шахтерова 82",1,44.0,1,568181.8181818182,элит,низкий,малая
76,76,Прибыльный бизнес · 60 м²,15000000.0,"Есильский р-н, мкр Комсомольский, Кабанбай батыра 10",1,60.0,1,250000.0,комфорт,низкий,средняя
77,77,Мал шаруашылығына базы сатылады · 2500 м²,45000000.0,Промышылна зона 34,1,2500.0,1,18000.0,комфорт,низкий,большая
78,78,Готовый бизнес по продаже мороженого и напитков · 6 м²,2200000.0,Достык 46,1,6.0,1,366666.6666666667,комфорт,низкий,малая
79,79,"Готовый бизнес ,с чистой выручкой 2 млн ! · 140 м²",13000000.0,"Есильский р-н, Сауран 20",1,140.0,1,92857.14285714286,комфорт,низкий,большая
80,80,Кофейня · 100 м²,31900000.0,"Алматы р-н, Шамши Калдаяков 8",1,100.0,1,319000.0,комфорт,низкий,средняя
81,81,Действующее кафе · 200 м²,200000000.0,Самарское 1,1,200.0,1,1000000.0,элит,низкий,большая
82,82,ДЕЙСТВУЮЩИЙ САЛОН КРАСОТЫ · 76 м²,4000000.0,"Нура р-н, Коргалжинское шоссе 2а",1,76.0,1,52631.57894736842,комфорт,низкий,средняя
83,83,50% доля в общепите · 600 м²,200000000.0,"Казыбек би р-н, мкр Юго-Восток, Пр Республики 9",1,600.0,1,333333.3333333333,комфорт,низкий,большая
84,84,Мини маркет продуктовый · 100 м²,33000000.0,Жк Асыл Арман 18,1,100.0,1,330000.0,комфорт,низкий,средняя
85,85,Ресторан «Я с тобой» 700 м² – прибыльный бизнес под ключ! · 700 м²,70000000.0,Шоссе коргалжын 2,1,700.0,1,100000.0,комфорт,низкий,большая
86,86,Ресторан-тойхану · 295 м²,190000000.0,"мкр Жана Орда, Алаш 18/2",1,295.0,1,644067.7966101695,элит,низкий,большая
87,87,!!!!!готовый бизнес по изготовлению бургеров и хотдогов · 50 м²,2000000.0,"Казыбек би р-н, мкр Юго-Восток, Республики 54/2",1,50.0,1,40000.0,комфорт,низкий,малая
88,88,БСУ. Бетонный завод · 100 м²,90000000.0,Куттыгай батыра 5/4,1,100.0,1,900000.0,элит,низкий,средняя
89,89,Готовый бизнес · 22 м²,10000000.0,7-й мкр 28/1,1,22.0,1,454545.45454545453,комфорт,низкий,малая
90,90,Прибыльный бизнес · 250 м²,22000000.0,"Ауэзовский р-н, мкр Тастак-1 279б/1",1,250.0,1,88000.0,комфорт,низкий,большая
91,91,Готовый бизнес. Действующий прибыльный. · 60 м²,30000000.0,"мкр Привокзальный-1, Баймуханова 66В",1,60.0,1,500000.0,комфорт,низкий,средняя
92,92,"Пищевой цех, пекарня, кондитерская · 600 м²",230000000.0,"р-н Байконур, Шет 6",1,600.0,1,383333.3333333333,комфорт,низкий,большая
93,93,Готовый бизнес · 950 м²,300000000.0,Кульджинский тракт 165/4,1,950.0,1,315789.4736842105,комфорт,низкий,большая
94,94,"Праздничное агество ""Счастье"" · 100 м²",3500000.0,Жусупа 30А,1,100.0,1,35000.0,комфорт,низкий,средняя
95,95,«Кофе на вынос» в центре-действующий бизнес · 11 м²,3000000.0,"Медеуский р-н, мкр Самал, Достык 55",1,11.0,1,272727.2727272727,комфорт,низкий,малая
96,96,Действующяя фазенда · 40000 м²,65000000.0,Береккк 11,1,40000.0,1,1625.0,комфорт,низкий,большая
97,97,Действующий продуктовый магазин · 200 м²,60000000.0,"Бостандыкский р-н, мкр Алмагуль, Абая 130",1,200.0,1,300000.0,комфорт,низкий,большая
98,98,База отдыха · 6000 м²,33000000.0,улица 3 2,1,6000.0,1,5500.0,комфорт,низкий,большая
99,99,Магазин одежды · 60 м²,2200000.0,"Керей, Жанибек хандар 22",1,60.0,1,36666.666666666664,комфорт,низкий,средняя
100,100,Готовый бизнес тренажерный зал · 400 м²,22000000.0,Женис 13,1,400.0,1,55000.0,комфорт,низкий,большая
101,101,"Баня, сауна, бассейн, производстстенный помещение под бизнес · 400 м²",185000000.0,"п. Арман, Гоголя строение 100",1,400.0,1,462500.0,комфорт,низкий,большая
