Unnamed: 0.1,Unnamed: 0,Title,Price,Location,Rooms,Area,Floor,District,Street,Price_per_m2,Segment,FloorCategory,AreaCategory
2533,2533,3-комнатная квартира · 133 м² · 12/13 этаж,90000000,"Алмалинский р-н, Мауленова 111 — Шевченко",3,133.0,12,Алмалинский р-н,Мауленова 111 — Шевченко,676691.7293233082,комфорт,высокий,большая
2534,2534,1-комнатная квартира · 26 м² · 2/9 этаж,17600000,"Наурызбайский р-н, мкр Шугыла — 839",1,26.0,2,Наурызбайский р-н,мкр Шугыла — 839,676923.0769230769,комфорт,низкий,малая
2535,2535,4-комнатная квартира · 131.5 м² · 2/9 этаж,125000000,"Бостандыкский р-н, мкр Керемет 5 к19",4,131.5,2,Бостандыкский р-н,мкр Керемет 5 к19,950570.3422053232,элит,низкий,большая
2536,2536,3-комнатная квартира · 91.3 м² · 1/17 этаж,65000000,Гагарина 133,3,91.3,1,,,711938.6637458927,элит,низкий,большая
2537,2537,2-комнатная квартира · 70 м² · 7/7 этаж,62000000,"Медеуский р-н, мкр Горный Гигант, Жамакаева 254/2",2,70.0,7,Медеуский р-н,"мкр Горный Гигант, Жамакаева 254/2",885714.2857142857,элит,средний,средняя
2538,2538,1-комнатная квартира · 27 м² · 2/9 этаж,17500000,"Наурызбайский р-н, мкр Шугыла, Жунисова",1,27.0,2,Наурызбайский р-н,"мкр Шугыла, Жунисова",648148.1481481482,комфорт,низкий,малая
2539,2539,3-комнатная квартира · 79 м² · 9/9 этаж,49000000,"Ауэзовский р-н, мкр Жетысу-2 76",3,79.0,9,Ауэзовский р-н,мкр Жетысу-2 76,620253.164556962,комфорт,высокий,средняя
2540,2540,3-комнатная квартира · 78 м² · 5/9 этаж,63000000,"Медеуский р-н, мкр Думан-2, Мкрн Думан-2 62",3,78.0,5,Медеуский р-н,"мкр Думан-2, Мкрн Думан-2 62",807692.3076923077,элит,средний,средняя
2541,2541,2-комнатная квартира · 55 м² · 3/5 этаж,80000000,"Медеуский р-н, мкр Самал, Сатпаева 10 — Назарбаева",2,55.0,3,Медеуский р-н,"мкр Самал, Сатпаева 10 — Назарбаева",1454545.4545454546,элит,низкий,средняя
2542,2542,2-комнатная квартира · 45 м² · 5/5 этаж,31000000,"Жетысуский р-н, мкр Айнабулак-1 20",2,45.0,5,Жетысуский р-н,мкр Айнабулак-1 20,688888.8888888889,комфорт,средний,малая
2543,2543,2-комнатная квартира · 63.2 м² · 2/5 этаж,30000000,"Алатауский р-н, мкр Саялы",2,63.2,2,Алатауский р-н,мкр Саялы,474683.5443037974,комфорт,низкий,средняя
2544,2544,2-комнатная квартира · 58 м² · 2/3 этаж,59500000,"Бостандыкский р-н, мкр Ерменсай, Талды 63",2,58.0,2,Бостандыкский р-н,"мкр Ерменсай, Талды 63",1025862.0689655172,элит,низкий,средняя
2545,2545,1-комнатная квартира · 14 м² · 4/5 этаж,9900000,"Алмалинский р-н, Жумалиева — Айтеке би",1,14.0,4,Алмалинский р-н,Жумалиева — Айтеке би,707142.8571428572,элит,средний,малая
2546,2546,3-комнатная квартира · 128 м² · 17/18 этаж,84000000,"Алмалинский р-н, Курмангазы",3,128.0,17,Алмалинский р-н,Курмангазы,656250.0,комфорт,высокий,большая
2547,2547,2-комнатная квартира · 62.5 м² · 4/6 этаж,28000000,"Жетысуский р-н, мкр Кокжиек",2,62.5,4,Жетысуский р-н,мкр Кокжиек,448000.0,комфорт,средний,средняя
2548,2548,1-комнатная квартира · 35.6 м² · 11/12 этаж,29500000,"Бостандыкский р-н, Бокина 3/1 — Розыбакиева",1,35.6,11,Бостандыкский р-н,Бокина 3/1 — Розыбакиева,828651.6853932583,элит,высокий,малая
2549,2549,4-комнатная квартира · 123 м² · 16/16 этаж,94000000,"Бостандыкский р-н, Каныша Сатпаева 133/1",4,123.0,16,Бостандыкский р-н,Каныша Сатпаева 133/1,764227.6422764228,элит,высокий,большая
2550,2550,2-комнатная квартира · 51 м² · 5/5 этаж,33900000,"Ауэзовский р-н, мкр Аксай-4 98",2,51.0,5,Ауэзовский р-н,мкр Аксай-4 98,664705.8823529412,комфорт,средний,средняя
2551,2551,1-комнатная квартира · 33 м² · 10/10 этаж,26999999,"Ауэзовский р-н, Толе би 285/8 — Утеген Батыра",1,33.0,10,Ауэзовский р-н,Толе би 285/8 — Утеген Батыра,818181.7878787878,элит,высокий,малая
